<<<<<<< HEAD
272,Domain IV: Climate Resilience (Climate Resilience),Asset Restoration,Post-Disaster Restoration of Other Community Assests,New
273,Domain IV: Climate Resilience (Climate Resilience),Asset Restoration,Post-Disaster Restoration of Community Building Assests,New
274,Domain IV: Climate Resilience (Climate Resilience),Protective Plantations,Raising of Shelterbelt Plantation,New
275,Domain IV: Climate Resilience (Climate Resilience),Fire Management,Construction of Animal Protection Trenches,New
276,Domain IV: Climate Resilience (Climate Resilience),Fire Management,Raising of Fire Break Hedges,New
277,Domain IV: Climate Resilience (Climate Resilience),Fire Management,Construction of Forest Fire Line,New
=======
S.No.,Thematic Domain,Group Name,Work Name,Classification
1,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Boulder Check Dam,New
2,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Boulder Check Dam,Repair
3,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Earthen Check Dam,New
4,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Earthen Check Dam,Repair
5,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Gabion Check Dam,New
6,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Gabion Check Dam,Repair
7,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Masonry Check Dam,New
8,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Masonry Check Dam,Repair
9,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Brushwood Gully Plug,New
10,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Earthen Gully Plug,New
11,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Stone Boulder Gully Plug,New
12,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Main Canal,New
13,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Main Canal,Repair
14,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Branch Canal,New
15,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Branch Canal,Repair
16,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Major Distributary Canal,New
17,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Major Distributary Canal,Repair
18,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Minor Distributary Canal,New
19,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Minor Distributary Canal,Repair
20,Domain I: Water Security (Water Harvesting),Surface Structures,Lining of Canal,New
21,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Water Courses and Field Channels,New
22,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Diversion Channel,New
23,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Diversion Channel,Repair
24,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Flood Diversion Drain,New
25,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Flood Diversion Drain,Repair
26,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Underground Dyke,New
27,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Underground Dyke,Repair
28,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Collection Chamber for Spring Shed,New
29,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Collection Chamber for Spring Shed,Repair
30,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Farm Pond,New
31,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Filtration Chamber for Defunct Borewell,New
32,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Filteration chamber in defunct bore well,Repair
33,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Filtration Pond with Recharge Shaft along Escape Channel,New
34,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Filtration Pond with Recharge Shaft along Escape Channel,Repair
35,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Injection Well in Channels,New
36,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Injection Well in Channels,Repair
37,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Injection Well in Water Bodies,New
38,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Injection Well in Water Bodies,Repair
39,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Percolation Tank,New
40,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Percolation Tank,Repair
41,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Recharge Pit,New
42,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Recharge Shaft,New
43,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Recharge Shaft,Repair
44,Domain I: Water Security (Water Harvesting),Recharge Structures,Rejuvenation of Pond,Repair
45,Domain I: Water Security (Water Harvesting),Recharge Structures,Rejuvenation of Step Well,Repair
46,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Sand-Filled Groundwater Recharge in Borewell,New
47,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Sand-Filled Groundwater Recharge in Borewell,Repair
48,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Sand-Filled Groundwater Recharge in Dug Well,New
49,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Sand-Filled Groundwater Recharge in Dug Well,Repair
50,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Tanka (Water Storage Structure),New
51,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Water Harvesting Pond,New
52,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Water Harvesting Pond,Repair
53,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Artificial Wetland for Waste Water Management,New
54,Domain I: Water Security (Water Harvesting),Irrigation Systems,Construction of Drip Irrigation Channels,New
55,Domain I: Water Security (Water Harvesting),Irrigation Systems,Construction of Irrigation Channels for Field Distribution,New
56,Domain I: Water Security (Water Harvesting),Irrigation Systems,Construction of Irrigation Well,New
57,Domain I: Water Security (Water Harvesting),Irrigation Systems,Repair & Maintenance of Irrigation Well,Repair
58,Domain I: Water Security (Water Harvesting),Irrigation Systems,Installation of Sprinkler Irrigation System,New
59,Domain I: Water Security (Water Harvesting),Land Reclamation,Development of Waterlogged Land,New
60,Domain I: Water Security (Water Harvesting),Land Reclamation,Construction of Drainage Works in Waterlogged Land,New
61,Domain I: Water Security (Water Harvesting),Soil Conservation,Construction of Continuous Contour Trench,New
62,Domain I: Water Security (Water Harvesting),Soil Conservation,Construction of Staggered Contour Trench,New
63,Domain I: Water Security (Water Harvesting),Soil Conservation,Plantation in Coastal Area,New
64,Domain I: Water Security (Water Harvesting),Soil Conservation,Bio-drainage Plantation,New
65,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Agro Forestry Plantation,New
66,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Bamboo Plantation,New
67,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Cactus Plantation,New
68,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Mango Horticulture Plantation,New
69,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Cashew Horticulture Plantation,New
70,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Apple Horticulture Plantation,New
71,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Custard Apple Horticulture Plantation,New
72,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Lemon Horticulture Plantation,New
73,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Coconut Horticulture Plantation,New
74,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Moringa Horticulture Plantation,New
75,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Orange Horticulture Plantation,New
76,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Guava Horticulture Plantation,New
77,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Pear Horticulture Plantation,New
78,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Dragon Fruit Horticulture Plantation,New
79,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Apricot Horticulture Plantation,New
80,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Chickoo Horticulture Plantation,New
81,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Pomegranate Horticulture Plantation,New
82,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Litchi Horticulture Plantation,New
83,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Sweet Lime Horticulture Plantation,New
84,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Avocado Horticulture Plantation,New
85,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Grape Horticulture Plantation,New
86,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Jack Fruit Horticulture Plantation,New
87,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Other Horticulture Plantation,New
88,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Mangrove Plantation,New
89,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Amla medicinal Plantation,New
90,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Neem medicinal Plantation,New
91,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Aswagandha medicinal Plantation,New
92,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Arjunamedicinal Plantation,New
93,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Satavari medicinal Plantation,New
94,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Mulethi medicinal Plantation,New
95,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Tulsi medicinal Plantation,New
96,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Peepal medicinal Plantation,New
97,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Bael medicinal Plantation,New
98,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Ashoka medicinal Plantation,New
99,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Golden Sower  medicinal Plantation,New
100,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Kachnar medicinal Plantation,New
101,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Other Medicinal Plantation,New
102,Domain I: Water Security (Water Harvesting),Soil Conservation,Plantation in Community Institutions,New
103,Domain I: Water Security (Water Harvesting),Soil Conservation,Avenue Plantation,New
104,Domain I: Water Security (Water Harvesting),Soil Conservation,Canal Line Plantation,New
105,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Tea Plantation in Community Wasteland,New
106,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Coffee Plantation in Community Wasteland,New
107,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Other Plantation in Community Wasteland,New
108,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Plantation in Forest Area,New
109,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Sericulture Plantation,New
110,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Jatropha Tree Borne Oil Seed Plantation,New
111,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Karanj Tree Borne Oil Seed Plantation,New
112,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Wild Apricot Tree Borne Oil Seed Plantation,New
113,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Simaoubha Tree Borne Oil Seed Plantation,New
114,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Mohua Tree Borne Oil Seed Plantation,New
115,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Kokum Tree Borne Oil Seed Plantation,New
116,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Jojoba Tree Borne Oil Seed Plantation,New
117,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Neem Tree Borne Oil Seed Plantation,New
118,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Anjeer Tree Borne Oil Seed Plantation,New
119,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Cheura Tree Borne Oil Seed Plantation,New
120,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Tung Tree Borne Oil Seed Plantation,New
121,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Olive Tree Borne Oil Seed Plantation,New
122,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Oil Palm Tree Borne Oil Seed Plantation,New
123,Domain I: Water Security (Water Harvesting),Soil Conservation,Raising of Other Tree Borne Oil Seed Plantation,New
124,Domain I: Water Security (Water Harvesting),Rainwater Harvesting,Construction of Roof Top Rain Water Harvesting Structure,New
125,Domain I: Water Security (Water Harvesting),Rainwater Harvesting,Repair & Maintenance of Roof Top Rain Water Harvesting Structure,Repair
126,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Construction of Cross Drainage Structure,New
127,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Repair & Maintenance of Cross Drainage Structure,Repair
128,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Construction of Culvert,New
129,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Repair & Maintenance of Culvert,Repair
130,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Construction of Rural Foot Over Bridge,New
131,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Repair & Maintenance of Rural Foot Over Bridge,Repair
132,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Construction of Bitumen Road,New
133,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Repair & Maintenance of Bitumen Road,Repair
134,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Construction of Cement Concrete Road,New
135,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Repair & Maintenance of Cement Concrete Road,Repair
136,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Construction of Interlocking Paver Block Road,New
137,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Repair & Maintenance of Interlocking Paver Block Road,Repair
138,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Construction of Kharanja Road,New
139,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Repair & Maintenance of Kharanja Road,Repair
140,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Construction of WBM Road,New
141,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Connectivity,Repair & Maintenance of WBM Road,Repair
142,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Construction of Anganwadi Centre Building,New
143,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Repair & Maintenance of Anganwadi Centre Building,Repair
144,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Construction of Anganwadi Toilet,New
145,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Repair & Maintenance of Anganwadi Toilet,Repair
146,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Construction of Gram Panchayat Building,New
147,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Repair & Maintenance of Gram Panchayat Building,Repair
148,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Construction of Boundary Wall for Government Institutions,New
149,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Construction of Marriage/Community Hall,New
150,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Repair & Maintenance of Marriage/Community Hall,Repair
151,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Construction of Rural Health Centre,New
152,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Repair & Maintenance of Rural Health Centre,Repair
153,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Construction of Rural Library Building,New
154,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Repair & Maintenance of Rural Library Building,Repair
155,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Construction of Veterinary Health Centre,New
156,Domain II: Core Rural Infrastructure (Rural Amenities),Civic Buildings,Repair & Maintenance of Veterinary Health Centre,Repair
157,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Construction of Additional Classroom for Government School,New
158,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Repair & Maintenance of Additional Classroom for Government School,Repair
159,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Construction of Compound Wall for Government School,New
160,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Repair & Maintenance of Compound Wall for Government School,Repair
161,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Construction of Kitchen Shed for Government School,New
162,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Repair & Maintenance of Kitchen Shed for Government School,Repair
163,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Construction of Laboratory for Government School,New
164,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Repair & Maintenance of Laboratory for Government School,Repair
165,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Construction of Play Ground for Government School,New
166,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Construction of Toilet for Government School,New
167,Domain II: Core Rural Infrastructure (Rural Amenities),Education Infrastructure,Repair & Maintenance of Toilet for Government School,Repair
168,Domain II: Core Rural Infrastructure (Rural Amenities),Community Assets,Construction of Crematorium,New
169,Domain II: Core Rural Infrastructure (Rural Amenities),Community Assets,Repair & Maintenance of Crematorium,Repair
170,Domain II: Core Rural Infrastructure (Rural Amenities),Community Assets,Construction of Graveyard,New
171,Domain II: Core Rural Infrastructure (Rural Amenities),Community Assets,Repair & Maintenance of Graveyard,Repair
172,Domain II: Core Rural Infrastructure (Rural Amenities),Water Supply,Repair and Maintenance of Storage Structure for Water Supply Project (JJM),Repair
173,Domain II: Core Rural Infrastructure (Rural Amenities),Water Supply,Repair and Maintenance of Distribution Structure Water Supply Project (JJM),Repair
174,Domain II: Core Rural Infrastructure (Rural Amenities),Waste Management,Construction of Community Sanitary Complex,New
175,Domain II: Core Rural Infrastructure (Rural Amenities),Waste Management,Construction of IHHL,New
176,Domain II: Core Rural Infrastructure (Rural Amenities),Waste Management,Construction of Compost Collection Pit,New
177,Domain II: Core Rural Infrastructure (Rural Amenities),Waste Management,Construction of Segregation Shed,New
178,Domain II: Core Rural Infrastructure (Rural Amenities),Waste Management,Construction of Soak Pit,New
179,Domain II: Core Rural Infrastructure (Rural Amenities),Waste Management,Construction of Soakage Channel,New
180,Domain II: Core Rural Infrastructure (Rural Amenities),Waste Management,Construction of Liquid Waste Chamber,New
181,Domain II: Core Rural Infrastructure (Rural Amenities),Renewable Energy,Construction of Biogas Plant,New
182,Domain II: Core Rural Infrastructure (Rural Amenities),Renewable Energy,Installation of Solar Street Light,New
183,Domain II: Core Rural Infrastructure (Rural Amenities),Common Facilities,Construction of Rural Bus Stand,New
184,Domain II: Core Rural Infrastructure (Rural Amenities),Common Facilities,Repair & Maintenance of Rural Bus Stand,Repair
185,Domain II: Core Rural Infrastructure (Rural Amenities),Common Facilities,Construction of Parking Shed,New
186,Domain II: Core Rural Infrastructure (Rural Amenities),Common Facilities,Repair & Maintenance of Parking Shed,Repair
187,Domain II: Core Rural Infrastructure (Rural Amenities),Common Facilities,Construction of Rural Park,New
188,Domain II: Core Rural Infrastructure (Rural Amenities),Common Facilities,Construction of Sitting Chaupal/Pandal,New
189,Domain II: Core Rural Infrastructure (Rural Amenities),Common Facilities,Construction of CC/Paver Block Flooring in Community Institutions,New
190,Domain II: Core Rural Infrastructure (Rural Amenities),Rural Housing,Construction of PMAY-G House,New
191,Domain III: Livelihood Infrastructure (Livelihood Assets),Skill Infrastructure,Construction of Training and Skill Development Centre Building,New
192,Domain III: Livelihood Infrastructure (Livelihood Assets),Skill Infrastructure,Repair & Maintenance of Training and Skill Development Centre Building,Repair
193,Domain III: Livelihood Infrastructure (Livelihood Assets),Skill Infrastructure,Construction of Workshed for SHG,New
194,Domain III: Livelihood Infrastructure (Livelihood Assets),Skill Infrastructure,Repair & Maintenance of Workshed for SHG,Repair
195,Domain III: Livelihood Infrastructure (Livelihood Assets),Market Infrastructure,Construction of Rural Haat Building,New
196,Domain III: Livelihood Infrastructure (Livelihood Assets),Market Infrastructure,Repair & Maintenance of Rural Haat Building,Repair
197,Domain III: Livelihood Infrastructure (Livelihood Assets),Market Infrastructure,Construction of Market Yard,New
198,Domain III: Livelihood Infrastructure (Livelihood Assets),Market Infrastructure,Repair & Maintenance of Market Yard,Repair
199,Domain III: Livelihood Infrastructure (Livelihood Assets),Agri Storage,Construction of Agricultural Produce Storage Building,New
200,Domain III: Livelihood Infrastructure (Livelihood Assets),Agri Storage,Repair & Maintenance of Agricultural Produce Storage Building,Repair
201,Domain III: Livelihood Infrastructure (Livelihood Assets),Agri Storage,Construction of Cold Storage Unit,New
202,Domain III: Livelihood Infrastructure (Livelihood Assets),Agri Storage,Repair & Maintenance of Cold Storage Unit,Repair
203,Domain III: Livelihood Infrastructure (Livelihood Assets),Agri Storage,Construction of Food Grain Storage Building,New
204,Domain III: Livelihood Infrastructure (Livelihood Assets),Agri Storage,Repair & Maintenance of Food Grain Storage Building,Repair
205,Domain III: Livelihood Infrastructure (Livelihood Assets),Agri Storage,Construction of Threshing Yard,New
206,Domain III: Livelihood Infrastructure (Livelihood Assets),SHG Infrastructure,Construction of SHG Building,New
207,Domain III: Livelihood Infrastructure (Livelihood Assets),SHG Infrastructure,Repair & Maintenance SHG Building,Repair
208,Domain III: Livelihood Infrastructure (Livelihood Assets),SHG Infrastructure,Construction of Federation Building,New
209,Domain III: Livelihood Infrastructure (Livelihood Assets),SHG Infrastructure,Repair & Maintenance Federation Building,Repair
210,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Bio-fertilizer and Organic Manure Units,New
211,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Vertical Greywater Treatment Unit,New
212,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Horizontal Greywater Treatment Unit,New
213,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Mini Flour Mill Processing Unit,New
214,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Cashew Processing Unit,New
215,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Oil Seed Processing Unit,New
216,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Integrated Agro Processing Unit (Cleaning/Grading/Packaging),New
217,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Forest Produce Processing Unit,New
218,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Handloom Processing Unit,New
219,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Hot Press Biodegradable Processing Unit (Plates/Bowls),New
220,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Bamboo Craft Processing Unit,New
221,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Other Processing Unit,New
222,Domain III: Livelihood Infrastructure (Livelihood Assets),Circular Economy,Construction of Recycling Plant,New
223,Domain III: Livelihood Infrastructure (Livelihood Assets),Organic Inputs,Construction of Berkeley Compost Pit,New
224,Domain III: Livelihood Infrastructure (Livelihood Assets),Organic Inputs,Construction of Compost Pit,New
225,Domain III: Livelihood Infrastructure (Livelihood Assets),Organic Inputs,Construction of NADEP Compost Pit,New
226,Domain III: Livelihood Infrastructure (Livelihood Assets),Organic Inputs,Construction of Vermi Compost Structure,New
227,Domain III: Livelihood Infrastructure (Livelihood Assets),Livestock Assets,Construction of Cattle Shelter,New
228,Domain III: Livelihood Infrastructure (Livelihood Assets),Livestock Assets,Construction of Cattle/Animal Trough,New
229,Domain III: Livelihood Infrastructure (Livelihood Assets),Livestock Assets,Raising of Fodder Cultivation,New
230,Domain III: Livelihood Infrastructure (Livelihood Assets),Livestock Assets,Construction of Goat Shelter,New
231,Domain III: Livelihood Infrastructure (Livelihood Assets),Livestock Assets,Construction of Milk Production Centre,New
232,Domain III: Livelihood Infrastructure (Livelihood Assets),Livestock Assets,Repair & Maintenance of Milk Production Centre,Repair
233,Domain III: Livelihood Infrastructure (Livelihood Assets),Livestock Assets,Construction of Piggery Shed,New
234,Domain III: Livelihood Infrastructure (Livelihood Assets),Livestock Assets,Construction of Poultry Shelter,New
235,Domain III: Livelihood Infrastructure (Livelihood Assets),Fisheries Assets,Construction of Aquaculture Structure for Shrimp Farming,New
236,Domain III: Livelihood Infrastructure (Livelihood Assets),Fisheries Assets,Construction of Aquaculture Structure for Fish Farming,New
237,Domain III: Livelihood Infrastructure (Livelihood Assets),Fisheries Assets,Construction of Aquaculture Structure for Crab Farming,New
238,Domain III: Livelihood Infrastructure (Livelihood Assets),Fisheries Assets,Construction of Fish Drying Yard,New
239,Domain III: Livelihood Infrastructure (Livelihood Assets),Fisheries Assets,Construction of Fishery Pond,New
240,Domain III: Livelihood Infrastructure (Livelihood Assets),Fisheries Assets,Repair & Maintenance of Fishery Pond,Repair
241,Domain III: Livelihood Infrastructure (Livelihood Assets),Production Units,Production of Building Material,New
242,Domain III: Livelihood Infrastructure (Livelihood Assets),Production Units,Raising of Nursery,New
243,Domain IV: Climate Resilience (Climate Resilience),Disaster Shelters,Construction of Cyclone Shelter,New
244,Domain IV: Climate Resilience (Climate Resilience),Disaster Shelters,Repair & Maintenance of Cyclone Shelters,Repair
245,Domain IV: Climate Resilience (Climate Resilience),Disaster Shelters,Construction of Flood Retention Shelter,New
246,Domain IV: Climate Resilience (Climate Resilience),Disaster Shelters,Repair & Maintenance of Flood Retension Shelters,Repair
247,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Embankment,New
248,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Strengthening of Embankment,New
249,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Earthen Spur,New
250,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Gabion Spur,New
251,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Stone Spur,New
252,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Repair & Maintenance of Spur,Repair
253,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Storm Water Drain,New
254,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Repair & Maintenance of Storm Water Drain,Repair
255,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Flood Diversion Channel,New
256,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Repair & Maintenance of Flood Diversion Channel,Repair
257,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Flood Protection Wall,New
258,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Repair & Maintenance of Flood protection wall,Repair
259,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Masonry Bund,New
260,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Earthen Retaining Wall,New
261,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Repair & Maintenance of Earthen Retaining Wall,Repair
262,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Stone/Gabion Retaining Wall,New
263,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Repair & Maintenance of Stone/Gabion Retaining Wall,Repair
264,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of Masonry Retaining Wall,New
265,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Repair & Maintenance of Masonry Retaining Wall,Repair
266,Domain IV: Climate Resilience (Climate Resilience),Protective Works,Construction of RCC Retaining Wall,New
